"pbp-action","pbp-logo src","pbp-action 2","pbp-time","pbp-period"
", Se retira","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","21, Ruben A. Godoy Santana","10:00:00","P2"
", Entra a pista","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","14, Pablo F. Fierro Velasquez","10:00:00","P2"
", Entra a pista","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","23, David I. Gonzalez Lazcano","10:00:00","P2"
"INICIO PERIODO","","","",""
", 3PT","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","23, David I. Gonzalez Lazcano","09:35:00","P2"
", Rebote defensivo","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","10, Carlos Gallegos Moya","09:33:00","P2"
", 3PT","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","11, Gonzalo Rojo Arqueros","09:12:00","P2"
", Rebote defensivo","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","13, Miguel Estay Romero","09:11:00","P2"
", 3PT","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","8, Gasphar Caneo Salinas","08:56:00","P2"
", Rebote defensivo","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","7, Nicolas Ortiz de Zarate","08:51:00","P2"
", 2PT bandeja","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","11, Gonzalo Rojo Arqueros","08:35:00","P2"
", Rebote ofensivo","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","15, Daniel Morales Gonzalez","08:32:00","P2"
", 3PT","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","8, Kurt Peters Diaz","08:30:00","P2"
", Rebote ofensivo","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","7, Nicolas Ortiz de Zarate","08:26:00","P2"
", 2PT bandeja  convertido","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","7, Nicolas Ortiz de Zarate","08:19:00","P2"
", 3PT","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","5, Benjamin A. Andrade Contreras","08:09:00","P2"
", Rebote ofensivo","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","23, David I. Gonzalez Lazcano","08:05:00","P2"
", 2PT bandeja  convertido","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","23, David I. Gonzalez Lazcano","07:57:00","P2"
", Falta personal","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","5, Benjamin A. Andrade Contreras","07:36:00","P2"
", Falta recibida","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","7, Nicolas Ortiz de Zarate","07:36:00","P2"
", Se retira","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","5, Benjamin A. Andrade Contreras","07:36:00","P2"
", Se retira","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","8, Gasphar Caneo Salinas","07:36:00","P2"
", Se retira","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","13, Miguel Estay Romero","07:36:00","P2"
", Entra a pista","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","9, Felipe Cordero Zurita","07:36:00","P2"
", Entra a pista","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","10, Damian A. Espinoza Salinas","07:36:00","P2"
", Entra a pista","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","17, Juan J. Garcia Ahumada","07:36:00","P2"
", Tiro libre 1/2  convertido","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","7, Nicolas Ortiz de Zarate","07:36:00","P2"
", Tiro libre 2/2  convertido","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","7, Nicolas Ortiz de Zarate","07:36:00","P2"
", 2PT tiro  convertido","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","17, Juan J. Garcia Ahumada","07:22:00","P2"
", Asistencia","https://se-img.dcd-production.i.geniussports.com/c3e538b0395f1fdcfcbdef24c556c602T1.jpg","10, Damian A. Espinoza Salinas","07:22:00","P2"
", 2PT bandeja","https://se-img.dcd-production.i.geniussports.com/2486f00667ff3afc356daad5104c02e2T1.png","15, Daniel Morales Gonzalez","07:05:00","P2"
